word,definition,Example Sentence
inalação, Acto ou efeito de inalar. ,"título=Size, Function, and Life History |ano=1996|editora=Courier Dove Publications|local=Mineola, Nova Iorque |isbn=978-0-486-69191-6 |página=91}} No momento da inalação, apenas 25% do ar inalado vai diretamente para os pulmões; os restantes 75% atravessam os pulmões e passam diretamente para um saco de ar posterior que se estende a partir dos pulmões e está ligado às cavidades de ar nos ossos, as quais preenche com ar."
inapetência, Falta de apetite. ,"Pode ter efeitos no sangue, medula óssea, sistema nervoso central e periférico e rins, resultando em anemia, inapetência (anorexia), encefalopatia, dores de cabeça; dificuldade de concentração e memorização, depressão, tonturas, sonolência, fadiga, irritabilidade, cólicas abdominais e dores musculares, dores nas articulações, insuficiência renal e hipertensão; é tóxico para a reprodução e desenvolvimento humanos."
incisão, O mesmo que [[corte:1]]. ,"lt;ref name=&quot;intro HGray2&quot; /&gt; Os métodos usados incluem a dissecação, na qual um corpo é aberto e seus órgãos estudados, e a endoscopia, na qual um instrumento equipado com uma câmera de vídeo é inserido através de uma pequena incisão na parede do corpo e usado para explorar os órgãos internos e outras estruturas."
incontinência, Qualidade de incontinente; falta de continência. Dificuldade em reter: _incontinência de urinas_. ,"Tlazolteotl]], deusa da luxúria e dos amantes ilícitos, padroeiro da incontinência, luxúria, adultério, sexo, paixões, carnalidade e transgressões morais."
indução," Acto ou efeito de induzir. Sugestão. Raciocínio, em que, de factos particulares, se tira uma conclusão genérica. Conclusão. Acto de estabelecer uma corrente eléctrica, produzindo corrente inversa num circuito próximo. Acto de interromper uma corrente eléctrica, produzindo corrente semelhante num circuito próximo. ","O nível tecnológico empregado nos plantios brasileiros de abacaxi é bastante heterogêneo, com áreas que empregam toda a tecnologia disponível (análise de solo, correção da acidez, adubação no plantio e de cobertura, tratamento de indução floral, pulverizações contra pragas e doenças), enquanto em outras regiões as práticas ainda são bastante rudimentares, com baixa produtividade."
infarto,,"Aumento de infartos, acidentes vasculares cerebrais, depressão."
infarto do miocárdio,,"Angina, infarto do miocárdio, acidente vascular cerebral (AVC) e embolia pulmonar podem representar a primeira manifestação de trombocitose."
infecção, Acto ou efeito de infeccionar. Corrupção; contágio. ,"Na maior parte dos casos, essas contaminações foram involuntárias; contudo também há relatos de infecção proposital."
infeccioso, Que resulta de infecção: _moléstia infecciosa_. Que produz infecção: _pântano infeccioso_. ,"lt;ref name=souza2009/&gt; Os carrapatos podem se alimentar de qualquer hospedeiro acidental, inclusive o ser humano, transmitindo assim o agente infeccioso e causando a doença."
inflamação, Acto ou efeito de inflamar. Ardor intenso. Rubor excessivo. ,Actua ao bloquear alguns metabólitos pró-inflamatórios que aceleram e agravam o processo inflamatório.
inflamatório, Inflamativo; relativo à inflamação. ,Actua ao bloquear alguns metabólitos pró-inflamatórios que aceleram e agravam o processo inflamatório.
ingestão, Acto de ingerir; deglutição. ,com/content/1/1/5|título = Diet induced thermogenesis|data=18 de agosto de 2004|acessodata=23 de novembro de 2014|autor = |publicado = }} permitindo a ingestão controlada de bebidas alcoólicas mesmo em dietas de perda de peso e/ou ganho muscular.
inibidor,,"Acredita-se que uma substância conhecida como Inibidor da maturação do ovócito (OMI), age mantendo estacionado o processo meiótico (dictióteno)."
injeção,,"O médico acalmou-o, pegou uma seringa, deu-lhe uma injeção de cânfora, e pediu champanhe."
innervação,,
insolação," Acto ou efeito de insolar. Acção ou efeito do sol nos corpos orgânicos ou inorgânicos. Resultado mórbido da exposição ao ardor do sol. Acto de expor ao sol, como meio terapêutico. Desecação de substâncias medicamentosas, sob a acção do sol. O calor, que o sol transmite à terra. ","Com mais de {{fmtn|1800}} horas de insolação por ano, a umidade do ar média anual é de 84%, contudo baixos índices de umidade podem ser registrados durante a estação seca ou em longos veranicos."
inspeção,,"html|titulo=20 Questions on Genetically Modified Foods|acessodata=16-04-2013|publicado=World Health Organization|wayb=20130327015739|urlmorta=sim}} Para alguns, as culturas de OGM causam preocupações com a segurança alimentar e a rotulagem dos alimentos."
instabilidade, Qualidade de instável; falta de estabilidade. ,"Think Progress'', 20/05/2014 Outros estudos recentes apontam que várias grandes regiões da Antártida estão dando crescentes sinais de instabilidade, e podem num prazo de 200 a 500 anos acrescentar vários metros ao nível do mar."
instilação, Acto ou efeito de instilar. ,"Há uma série de treinamentos dados a sargentos para evitar que tropas sob seu comando entrem em pânico: por exemplo, recolhimento de mortos e feridos da vista dos soldados (especialmente se as baixas forem de seus companheiros de armas), instilação de moral, etc."
insuficiência, Qualidade daquilo que é insuficiente. ,A situação em que a saúde no estado encontra-se é de insuficiência para atender toda a população.
insuficiência renal,,"A diálise tem grande importância na medicina no tratamento da insuficiência renal, crônica e aguda."
insulina,,"isolada para seu uso posterior: por exemplo, podem-se transformar microorganismos para produzir grandes quantidades de substâncias úteis, como a insulina, que posteriormente se isolam e se utilizam em terapias;{{Citar periódico |autor=Miller WL."
integração, Acto de integrar. ,"data=|publicado=Associação Latino-Americana de Integração|acessodata=3 de novembro de 2011}} O acordo da ALALC foi assinado por sete países, a saber: Argentina, Brasil, Chile, México, Paraguai, Peru e Uruguai."
intensidade, Qualidade daquilo que é intenso; grau elevado: _a intensidade do calor_. ,"lt;ref&gt;{{citar livro|autor=ANTUNES, Celso|título=Geografia e participação, 1º grau: Américas e regiões polares|local=São Paulo|editora=Scipione|ano=1996|páginas=49}} Apesar da intensidade da mestiçagem, existem nações em que a maior parte dos habitantes é branca (Argentina{{citar web|url=https://www."
interferência, Intervenção. Qualidade daquilo que é interferente. ,"lt;ref name=&quot;Conferências pan-americanas&quot;/&gt; Era um tratado de não interferência que também previa um programa de intercâmbio de professores, estudantes, líderes culturais, conferencistas e tecnocratas."
interferon,,"Dentre eles incluem-se: diuréticos tiazídicos, estrogênios, anti-histamínicos, pantoprazol, interferon, sulfatiazol, novobiocina, p-aminossalicilato, sedativos/hipnóticos e anticonvulsivantes."
intermitente," Que intermite. Que tem interrupções, paragens ou intervalos: _febre intermitente_. Que apresenta suspensões ou intervalos desiguais, (falando-se de pulsações). ","O Pró-álcool, que teve origem na década de 1970 em resposta às incertezas do mercado petrolífero, obteve sucesso intermitente."
internação, Acto ou efeito de internar. ,"unidades de saúde eram especializadas, com internação total, e 848 unidades eram providas de atendimento ambulatorial."
intestino," Interior, interno, íntimo; doméstico; nacional: _guerras intestinas_. ","Tal como os répteis, as aves são seres uricotélicos; isto é, os seus rins filtram os resíduos nitrogenados da corrente sanguínea e excretam-nos na forma de ácido úrico (em vez de ureia ou amoníaco) ao longo dos uréteres até ao intestino."
intoxicação,,coli'' que pode causar intoxicação alimentar).
intubação,,"Além disso, durante a cirurgia, se a ventilação mecânica for necessária quando uma pessoa estiver sedada, um tubo é inserido na traquéia, chamado de intubação."
invasivo, Relativo a invasão. Que hostiliza. ,"No Brasil, há quem o interprete como ato invasivo, por reconhecer a existência de povos indígenas que já habitavam o território séculos antes da chegada dos portugueses."
involução, Movimento regressivo. ,"As pessoas usam o termo de involução para criticar o comportamento do homem ao longo do tempo, como se a sua mente estivesse se transformando na mente de um animal."
iodoterapia, Emprego terapêutico do iodo e seus compostos. ,"Almeida, Juliana Pereira; Kowalski, Luiz Paulo; Pilocarpina no tratamento de xerostomia em pacientes submetidos à iodoterapia: estudo piloto."
íris," Meteoro luminoso, produzido na atmosfera, em forma de arco, pela decomposição dos raios solares. Cores, que, através de algumas lunetas, se observam em volta dos objectos. Quartzo irisado. ","svg|thumb|Topografia de uma ave: 1 Bico, 2 Coroa, 3 Íris, 4 Pupila, 5 Manto, 6 Pequenas coberturas, 7 Escapulares, 8 Grandes coberturas, 9 Terciárias, 10 Uropígio, 11 Primárias, 12 Cloaca, 13 Coxa, 14 Articulação tíbiotársica, 15 Tarso, 16 Pata, 17 Tíbia, 18 Ventre, 19 Flancos, 20 Peito, 21 Garganta, 22 Papada, 23 Lista supraciliar."
iscência,,"ex: a palavra remineiscência escrita com &quot;e&quot;, o uso dos colchetes que eu nunca vi ser utilizado na língua portuguesa."
isolamento,,"Uma quantidade chuvosa muito pequena é recebida por estas regiões de estiagem devido ao seu isolamento litorâneo pelo relevo disposto, dificultando que contatem com os ventos de umidade."
isquemia, Suspensão da circulação do sangue. ,"As células dos astrocitomas parecem comportar-se de forma semelhante aos astrócitos imaturos, demonstrando rotas metabólicas e glicolíticas, efluxo de lactato, alta captação de glicose (devido à expressão do GLUT3), resistência à isquemia, ''upregulation'' do HIF1α e alta presença de ''gap-junctions''."
ístmo,,"Os mamutes não cruzaram o Ístmo do Panamá, possivelmente por conta da ausência de um habitat favorável e dificuldades na termorregulação em temperaturas mais elevadas."
jejum," Redução ou abstinência de alimento, como penitência ou em virtude de preceito eclesiástico. Abstenção ou redução da quantidade ordinária dos alimentos. Estado de quem não come desde o dia anterior: _ainda não almocei; estou em jejum_. ","br/esportes/noticia/2021-07/argentina-vence-brasil-na-copa-america-e-quebra-jejum-sem-titulos|título=Argentina vence Brasil na Copa América e quebra jejum de títulos|autor=SANTOS, Igor|data=10-07-2021|acessodata=11-07-2021|wayb=20210711041820}} Mais de mil jogadores argentinos jogam no exterior, a maioria deles em campeonatos do futebol europeu."
keratina,,lt;ref&gt;{{Citar web|titulo=Consuelo Adler no Instagram: “New💥Clairol Natural Instincts Crème Keratin #new #campaign #clairol #naturalinstinct #crema #keratina #model #consueloadlerofficial…”|url=https://www.
laboratório," Lugar, onde se fazem experiências biológicas ou operações químicas ou farmacêuticas. ",Somente em 1995 o primeiro condensado foi produzido experimentalmente por Eric Allin Cornell e Carl Wieman usando equipamentos de ultrarresfriamento construídos no laboratório do Instituto Nacional de Padrões e Tecnologia — Instituto Conjunto do Laboratório de Astrofísica da Universidade do Colorado em Boulder.
lactação, Acto ou efeito de lactar. ,A lactação dura entre 3 e 9 meses.
lactente," Que ainda mama; que se está amamentando. Cf. Castilho, _Fastos_. ","Ainda que possa parecer que isto limite o fornecimento de nutrientes ao bebê, é importante considerar que a osmolaridade elevada não é ainda uma condição equilibrada nos rins do lactente que, nos primeiros meses, deve extrair a água necessária exclusivamente do leite e sem outra administração adicional."
