Term,Example Sentence
Instilação,"Há uma série de treinamentos dados a sargentos para evitar que tropas sob seu comando entrem em pânico: por exemplo, recolhimento de mortos e feridos da vista dos soldados (especialmente se as baixas forem de seus companheiros de armas), instilação de moral, etc."
Insuficiência,A situação em que a saúde no estado encontra-se é de insuficiência para atender toda a população.
Insuficiência renal,"A diálise tem grande importância na medicina no tratamento da insuficiência renal, crônica e aguda."
Insulina,"isolada para seu uso posterior: por exemplo, podem-se transformar microorganismos para produzir grandes quantidades de substâncias úteis, como a insulina, que posteriormente se isolam e se utilizam em terapias;{{Citar periódico |autor=Miller WL."
Integração,"data=|publicado=Associação Latino-Americana de Integração|acessodata=3 de novembro de 2011}} O acordo da ALALC foi assinado por sete países, a saber: Argentina, Brasil, Chile, México, Paraguai, Peru e Uruguai."
Intensidade,"lt;ref&gt;{{citar livro|autor=ANTUNES, Celso|título=Geografia e participação, 1º grau: Américas e regiões polares|local=São Paulo|editora=Scipione|ano=1996|páginas=49}} Apesar da intensidade da mestiçagem, existem nações em que a maior parte dos habitantes é branca (Argentina{{citar web|url=https://www."
Interferência,"lt;ref name=&quot;Conferências pan-americanas&quot;/&gt; Era um tratado de não interferência que também previa um programa de intercâmbio de professores, estudantes, líderes culturais, conferencistas e tecnocratas."
Interferon,"Dentre eles incluem-se: diuréticos tiazídicos, estrogênios, anti-histamínicos, pantoprazol, interferon, sulfatiazol, novobiocina, p-aminossalicilato, sedativos/hipnóticos e anticonvulsivantes."
Intermitente,"O Pró-álcool, que teve origem na década de 1970 em resposta às incertezas do mercado petrolífero, obteve sucesso intermitente."
Internação,"unidades de saúde eram especializadas, com internação total, e 848 unidades eram providas de atendimento ambulatorial."
Intestino,"Tal como os répteis, as aves são seres uricotélicos; isto é, os seus rins filtram os resíduos nitrogenados da corrente sanguínea e excretam-nos na forma de ácido úrico (em vez de ureia ou amoníaco) ao longo dos uréteres até ao intestino."
Intoxicação,coli'' que pode causar intoxicação alimentar).
Intubação,"Além disso, durante a cirurgia, se a ventilação mecânica for necessária quando uma pessoa estiver sedada, um tubo é inserido na traquéia, chamado de intubação."
Invasivo,"No Brasil, há quem o interprete como ato invasivo, por reconhecer a existência de povos indígenas que já habitavam o território séculos antes da chegada dos portugueses."
Involução,"As pessoas usam o termo de involução para criticar o comportamento do homem ao longo do tempo, como se a sua mente estivesse se transformando na mente de um animal."
Iodoterapia,"Almeida, Juliana Pereira; Kowalski, Luiz Paulo; Pilocarpina no tratamento de xerostomia em pacientes submetidos à iodoterapia: estudo piloto."
Íris,"svg|thumb|Topografia de uma ave: 1 Bico, 2 Coroa, 3 Íris, 4 Pupila, 5 Manto, 6 Pequenas coberturas, 7 Escapulares, 8 Grandes coberturas, 9 Terciárias, 10 Uropígio, 11 Primárias, 12 Cloaca, 13 Coxa, 14 Articulação tíbiotársica, 15 Tarso, 16 Pata, 17 Tíbia, 18 Ventre, 19 Flancos, 20 Peito, 21 Garganta, 22 Papada, 23 Lista supraciliar."
iscência,"ex: a palavra remineiscência escrita com &quot;e&quot;, o uso dos colchetes que eu nunca vi ser utilizado na língua portuguesa."
Isolamento,"Uma quantidade chuvosa muito pequena é recebida por estas regiões de estiagem devido ao seu isolamento litorâneo pelo relevo disposto, dificultando que contatem com os ventos de umidade."
Isquemia,"As células dos astrocitomas parecem comportar-se de forma semelhante aos astrócitos imaturos, demonstrando rotas metabólicas e glicolíticas, efluxo de lactato, alta captação de glicose (devido à expressão do GLUT3), resistência à isquemia, ''upregulation'' do HIF1α e alta presença de ''gap-junctions''."
Ístmo,"Os mamutes não cruzaram o Ístmo do Panamá, possivelmente por conta da ausência de um habitat favorável e dificuldades na termorregulação em temperaturas mais elevadas."
Jejum,"br/esportes/noticia/2021-07/argentina-vence-brasil-na-copa-america-e-quebra-jejum-sem-titulos|título=Argentina vence Brasil na Copa América e quebra jejum de títulos|autor=SANTOS, Igor|data=10-07-2021|acessodata=11-07-2021|wayb=20210711041820}} Mais de mil jogadores argentinos jogam no exterior, a maioria deles em campeonatos do futebol europeu."
Keratina,lt;ref&gt;{{Citar web|titulo=Consuelo Adler no Instagram: “New💥Clairol Natural Instincts Crème Keratin #new #campaign #clairol #naturalinstinct #crema #keratina #model #consueloadlerofficial…”|url=https://www.
Laboratório,Somente em 1995 o primeiro condensado foi produzido experimentalmente por Eric Allin Cornell e Carl Wieman usando equipamentos de ultrarresfriamento construídos no laboratório do Instituto Nacional de Padrões e Tecnologia — Instituto Conjunto do Laboratório de Astrofísica da Universidade do Colorado em Boulder.
Lactação,A lactação dura entre 3 e 9 meses.
Lactente,"Ainda que possa parecer que isto limite o fornecimento de nutrientes ao bebê, é importante considerar que a osmolaridade elevada não é ainda uma condição equilibrada nos rins do lactente que, nos primeiros meses, deve extrair a água necessária exclusivamente do leite e sem outra administração adicional."
Lâmina de bisturi,"O material necessário consiste em: solução anti-séptica ( clorexidina ou PVP-I), gazes, luvas estéreis, campos estéreis, avental estéril, seringa de 20 ml, agulha 12x7, agulha 40x12, torneira de três vias, equipo de soro de macrogotas, Intracath ou Jelco nº14, lâmina de bisturi nº11 ou 15, lidocaína sem vasoconstritor, frasco (de preferência à vácuo), tubo estéril para coleta de amostra do líquido."
Lanterna clínica,NA
Laparoscopia,"Também faz parte da bioengenharia a instrumentação necessária à observação, diagnóstico e análises clínicas como microscópios óticos, laparoscópios,  endoscópios, cardiógrafos, eletroencefalógrafos, etc."
Laringe,"Em 1960, Huxley foi diagnosticado com câncer de laringe e, nos anos seguintes, embora a doença se agravasse, escreveu o romance ''A Ilha''Peter Bowering ''Aldous Huxley: A Study of the Major Novels'', p."
Laringite,"id=-HRJOElZch8C&amp;pg=PA25}} Os sintomas ocorrem entre 40% e 90% dos casos e geralmente incluem febre, inchaço dos gânglios linfáticos, inflamação de garganta (laringite ou faringite), erupção cutânea, dor de cabeça e/ou feridas na boca e genitais."
Laringoscopia,A '''Laringoscopia''' é um procedimento realizado para diagnosticar doenças da laringe.
Laringoscópio,"Intubação endotraqueal ou orotraqueal (IOT)''' é um procedimento de ''suporte avançado de vida'' onde o médico, com um laringoscópio, visualiza a laringe e através dela introduz um tubo na traqueia (tubo endotraqueal)."
Laser cirúrgico,"Uma barreira de laser cirúrgico, que pode partir um jogador ao meio, se este já estiver ferido."
Laserterapia,Um exemplo é a terapia a ''laser''.
Lateral,"Primeiramente, produz um único fruto, situado no ápice; depois, com a ramificação lateral do talo, aparecem outros frutos, de modo que a fase produtiva pode prolongar-se por vários anos."
Lavagem,Essas práticas de descarte levam à degradação do solo e podem resultar em contaminação de solos e vazamento de microplásticos no ambiente marinho como resultado do escoamento da precipitação e da lavagem das marés.
Laxante,"utilizado em fertilizantes, além de ser constituinte da pólvora, de medicamentos laxantes, de palitos de fósforos e de inseticidas."
Le,Le Pain et le Cirque''.
Lesão,"lt;ref name=CDC2015Tran/&gt; A transmissão é feita ao respirar, comer ou através de uma lesão na pele."
Leucemia,"Josina morreu de leucemia, a 7 de abril de 1973."
Leucócito,Granulócito basófilo''' é um tipo de leucócito que se fixa com corantes básicos.
Leucócitos,Representa menos de 1% dos leucócitos.
Leucocitose,"lt;/ref&gt; A leucocitose é geralmente saudável (por exemplo, lutando contra uma infecção), mas também pode ser disfuncionalmente proliferativa."
Leucoplasia,"lt;ref name=Neville2008 /&gt; Nas formas extremas, isso pode se manifestar como leucoplasia ou estomatite nicotínica (ceratose do fumante)."
Ligadura,lt;/ref&gt; Diversas fontes em árabe contam com ligaduras especiais próprias para o nome.
Ligamento,"Todos os felinos possuem garras retrateis ou semi-retráteis (Guepardo) ligadas ao osso terminal dos pés, podendo &quot;guardá-las&quot; dentro dos dedos em posição de descanso ou prolonga-las para frente para um ataque."
Linfadenop,NA
Linfadenopatia,"Sintomas = '''iniciais''': semelhantes à gripe'''tardios''': aumento de volume dos gânglios linfáticos, febre, perda de peso{{citar web|título=HIV/AIDS Fact sheet N°360|url=http://www."
Linfático,"Esta drenagem é particularmente importante na oncologia, porque as mamas são um local comum de desenvolvimento de câncer, se células malignas são derivadas do tecido mamário, poderiam se espalhar para outras partes do corpo através do sistema linfático para produzir metástases."
Linfócito,Seu trabalho levou-o a interessar-se pela composição bioquímica dos linfócitos.
Linfoma,"Foi comprovado que o consumo não moderado de álcool está associado a um maior risco de doença de Alzheimer e outras doenças senis, angina de peito, fraturas e osteoporose, diabetes, úlcera duodenal, cálculo biliar, hepatite A, linfomas, pedras nos rins, Transtorno Bipolar, síndrome metabólica, câncer no pâncreas, doença de Parkinson, artrite reumática e gastrite."
Lipase,"Primeira enzima (lipase pancreática): Claude Bernard, 1848."
Lipídeo,"lt;/ref&gt; Muitos primatas incluem frutos em sua dieta, que são fontes de carboidratos e lipídeos fáceis de digerir."
Lipoma,"As pessoas portadoras dessa alteração frequentemente apresentam puberdade precoce e achados associados como malformações faciais (fenda palatina, hipertelorismo, micrografia, malformações de língua e de mandíbula, massas nas cavidades nasal, bucal ou na faringe - incluindo teratomas -, implantação do cabelo em &quot;V&quot; e implantação baixa das orelhas) e alterações intracranianas e espinhais (lipoma inter-hemisférico, agenesia do corpo caloso, ausência dos bulbos olfatórios, ausência do septo pelúcido, hipoplasia do vermis ou de todo o cerebelo, hidrocefalia, tálamos fundidos, anomalias do polígono de Willis, espinhas bífidas, diplomielia, mielomeningocele e tumores congênitos, como lipomas, teratomas)."
Lipossoma,"svg|thumb|250px|Fosfolípidos organizados em lipossomas, micelas e bicapa lipídica."
Liquor,com/seoul/drink/soju-most-sold-drink-world-930177|título=It's official: Jinro soju is the world's best-selling liquor|data=2012-06-12|publicado=CNN Travel|acessodata=2013-04-29|arquivodata=21 de fevereiro de 2014|arquivourl=https://web.
Listeriose,"Algumas destas doenças, que podem ser citadas são, entre outras, a brucelose, tuberculose, teníase, toxoplasmose, salmonelose, colibacilose, clostridioses, leptospirose, campilobacteriose, Raiva canina,listeriose, raiva, scrapie, encefalopatia espongiforme bovina (&quot;''Mal da Vaca Louca''&quot;) e a influenza aviária (&quot;gripe aviária&quot;) - todas elas potenciais zoonoses - doenças dos animais passíveis de transmissão ao ser humano -, além da febre aftosa, pestes suínas clássica e africana, anemia infecciosa equina, doença de Newcastle, doença de Aujezski, que são doenças de alto impacto econômico e poder restritivo de mercado."
